t;m;Vx;Vy;x;y;H;V;vartheta;theta;alpha;Mach;q;X;Y;Mz;omega;stage
191.7000;620.000;6669.2891;2409.9181;614616.081;328661.303;356794.178;7091.3414;19.8671;19.8671;0.0000;25.90090;0.0000;0.000;0.000;0.000;0.000000;4
191.8000;620.000;6669.2086;2409.0412;615283.006;328902.251;357095.076;7090.9677;19.8607;19.8607;0.0000;25.89954;0.0000;0.000;0.000;0.000;0.000000;4
191.9000;620.000;6669.1280;2408.1644;615949.923;329143.111;357395.947;7090.5941;19.8542;19.8542;0.0000;25.89817;0.0000;0.000;0.000;0.000;0.000000;4
192.0000;620.000;6669.0474;2407.2877;616616.832;329383.884;357696.791;7090.2205;19.8478;19.8478;0.0000;25.89681;0.0000;0.000;0.000;0.000;0.000000;4
192.1000;620.000;6668.9667;2406.4111;617283.732;329624.569;357997.609;7089.8470;19.8413;19.8413;0.0000;25.89544;0.0000;0.000;0.000;0.000;0.000000;4
192.2000;620.000;6668.8859;2405.5345;617950.625;329865.166;358298.400;7089.4735;19.8349;19.8349;0.0000;25.89408;0.0000;0.000;0.000;0.000;0.000000;4
192.3000;620.000;6668.8050;2404.6580;618617.510;330105.676;358599.163;7089.1001;19.8284;19.8284;0.0000;25.89272;0.0000;0.000;0.000;0.000;0.000000;4
192.4000;620.000;6668.7241;2403.7816;619284.386;330346.098;358899.901;7088.7267;19.8220;19.8220;0.0000;25.89135;0.0000;0.000;0.000;0.000;0.000000;4
192.5000;620.000;6668.6430;2402.9053;619951.254;330586.432;359200.611;7088.3534;19.8156;19.8156;0.0000;25.88999;0.0000;0.000;0.000;0.000;0.000000;4
192.6000;620.000;6668.5619;2402.0291;620618.115;330826.679;359501.295;7087.9801;19.8091;19.8091;0.0000;25.88863;0.0000;0.000;0.000;0.000;0.000000;4
192.7000;620.000;6668.4808;2401.1530;621284.967;331066.838;359801.951;7087.6069;19.8027;19.8027;0.0000;25.88726;0.0000;0.000;0.000;0.000;0.000000;4
192.8000;620.000;6668.3995;2400.2770;621951.811;331306.909;360102.582;7087.2337;19.7962;19.7962;0.0000;25.88590;0.0000;0.000;0.000;0.000;0.000000;4
192.9000;620.000;6668.3182;2399.4010;622618.647;331546.893;360403.185;7086.8606;19.7898;19.7898;0.0000;25.88454;0.0000;0.000;0.000;0.000;0.000000;4
193.0000;620.000;6668.2368;2398.5251;623285.475;331786.790;360703.761;7086.4875;19.7834;19.7834;0.0000;25.88317;0.0000;0.000;0.000;0.000;0.000000;4
193.1000;620.000;6668.1553;2397.6494;623952.294;332026.598;361004.311;7086.1144;19.7769;19.7769;0.0000;25.88181;0.0000;0.000;0.000;0.000;0.000000;4
193.2000;620.000;6668.0738;2396.7737;624619.106;332266.319;361304.834;7085.7414;19.7705;19.7705;0.0000;25.88045;0.0000;0.000;0.000;0.000;0.000000;4
193.3000;620.000;6667.9921;2395.8980;625285.909;332505.953;361605.330;7085.3685;19.7640;19.7640;0.0000;25.87909;0.0000;0.000;0.000;0.000;0.000000;4
193.4000;620.000;6667.9104;2395.0225;625952.704;332745.499;361905.799;7084.9956;19.7576;19.7576;0.0000;25.87773;0.0000;0.000;0.000;0.000;0.000000;4
193.5000;620.000;6667.8286;2394.1471;626619.491;332984.958;362206.242;7084.6227;19.7512;19.7512;0.0000;25.87636;0.0000;0.000;0.000;0.000;0.000000;4
193.6000;620.000;6667.7468;2393.2717;627286.270;333224.329;362506.658;7084.2499;19.7447;19.7447;0.0000;25.87500;0.0000;0.000;0.000;0.000;0.000000;4
193.7000;620.000;6667.6648;2392.3965;627953.040;333463.612;362807.047;7083.8771;19.7383;19.7383;0.0000;25.87364;0.0000;0.000;0.000;0.000;0.000000;4
