t;m;Vx;Vy;x;y;H;V;vartheta;theta;alpha;Mach;q;X;Y;Mz;omega;stage
697.8000;620.000;5600.6142;-1136.6834;3768613.651;584812.315;1540117.102;5714.7991;-11.4727;-11.4727;0.0000;20.87313;0.0000;0.000;0.000;0.000;0.000000;4
697.9000;620.000;5600.3108;-1137.2434;3769173.697;584698.619;1540283.943;5714.6132;-11.4788;-11.4788;0.0000;20.87245;0.0000;0.000;0.000;0.000;0.000000;4
698.0000;620.000;5600.0074;-1137.8033;3769733.713;584584.866;1540450.758;5714.4273;-11.4850;-11.4850;0.0000;20.87177;0.0000;0.000;0.000;0.000;0.000000;4
698.1000;620.000;5599.7039;-1138.3632;3770293.698;584471.058;1540617.547;5714.2414;-11.4911;-11.4911;0.0000;20.87109;0.0000;0.000;0.000;0.000;0.000000;4
698.2000;620.000;5599.4004;-1138.9230;3770853.654;584357.194;1540784.310;5714.0556;-11.4972;-11.4972;0.0000;20.87041;0.0000;0.000;0.000;0.000;0.000000;4
698.3000;620.000;5599.0969;-1139.4828;3771413.578;584243.273;1540951.047;5713.8697;-11.5033;-11.5033;0.0000;20.86973;0.0000;0.000;0.000;0.000;0.000000;4
698.4000;620.000;5598.7934;-1140.0425;3771973.473;584129.297;1541117.758;5713.6840;-11.5094;-11.5094;0.0000;20.86905;0.0000;0.000;0.000;0.000;0.000000;4
698.5000;620.000;5598.4898;-1140.6022;3772533.337;584015.265;1541284.443;5713.4982;-11.5155;-11.5155;0.0000;20.86837;0.0000;0.000;0.000;0.000;0.000000;4
698.6000;620.000;5598.1863;-1141.1618;3773093.171;583901.177;1541451.103;5713.3125;-11.5216;-11.5216;0.0000;20.86770;0.0000;0.000;0.000;0.000;0.000000;4
698.7000;620.000;5597.8826;-1141.7214;3773652.974;583787.032;1541617.736;5713.1268;-11.5277;-11.5277;0.0000;20.86702;0.0000;0.000;0.000;0.000;0.000000;4
698.8000;620.000;5597.5790;-1142.2810;3774212.748;583672.832;1541784.344;5712.9411;-11.5338;-11.5338;0.0000;20.86634;0.0000;0.000;0.000;0.000;0.000000;4
698.9000;620.000;5597.2753;-1142.8405;3774772.490;583558.576;1541950.925;5712.7555;-11.5399;-11.5399;0.0000;20.86566;0.0000;0.000;0.000;0.000;0.000000;4
699.0000;620.000;5596.9716;-1143.4000;3775332.203;583444.264;1542117.481;5712.5699;-11.5460;-11.5460;0.0000;20.86498;0.0000;0.000;0.000;0.000;0.000000;4
