t, с	m, кг	V_x, м/с	V_y, м/с	x, м	y, м	h, м	V, м/с	theta, град.	Theta, град.	Theta_с, град.	alpha, град.	phi, град.	0.00	3000.00	0.000	0.000	0.00	1738.00	0.00	0.000	90.000	NaN	NaN	NaN	0.000	
14.00	2965.73	0.000	16.796	0.00	1738.12	0.12	16.796	90.000	90.000	90.000	0.000	0.000	
14.00	2965.73	0.000	16.796	0.00	1738.12	0.12	16.796	90.000	90.000	90.000	0.000	0.000	
50.00	2877.62	7.056	61.845	0.08	1739.53	1.53	62.246	82.234	83.494	83.491	-1.258	0.003	
100.10	2754.99	41.217	126.491	1.17	1744.24	6.24	133.037	71.425	71.990	71.952	-0.527	0.039	
150.10	2632.60	104.601	188.830	4.69	1752.14	14.15	215.866	60.639	61.170	61.016	-0.378	0.154	
200.10	2510.22	197.552	243.722	12.13	1763.00	25.04	313.731	49.852	51.367	50.973	-1.121	0.394	
250.10	2387.84	319.393	285.589	24.93	1776.30	38.48	428.454	39.065	42.606	41.802	-2.737	0.804	
300.10	2265.45	468.407	308.651	44.52	1791.25	53.80	560.955	28.278	34.806	33.382	-5.104	1.424	
350.00	2143.31	641.428	307.082	72.12	1806.72	70.16	711.147	17.513	27.868	25.583	-8.069	2.286	
400.00	2020.93	835.256	275.094	108.96	1821.42	86.67	879.391	6.727	21.653	18.229	-11.503	3.423	
450.00	1898.55	1044.543	207.067	155.90	1833.63	102.25	1064.870	-4.060	16.073	11.213	-15.273	4.860	
496.41	1784.95	1247.276	107.082	209.06	1841.07	114.90	1251.864	-14.072	11.385	4.907	-18.979	6.478	
500.00	1784.95	1246.692	101.991	213.54	1841.44	115.78	1250.857	-21.376	11.292	4.677	-26.053	6.615	
550.00	1784.95	1237.370	31.722	275.65	1844.78	127.26	1237.777	-21.376	9.967	1.469	-22.845	8.498	
600.00	1784.95	1225.889	-37.407	337.24	1844.63	137.21	1226.460	-21.376	8.613	-1.748	-19.628	10.360	
650.00	1784.95	1212.313	-105.458	398.20	1841.06	145.63	1216.891	-21.376	7.233	-4.972	-16.405	12.204	
700.00	1784.95	1196.691	-172.491	458.44	1834.10	152.53	1209.058	-21.376	5.831	-8.202	-13.174	14.034	
750.00	1784.95	1179.058	-238.562	517.84	1823.82	157.91	1202.951	-21.376	4.412	-11.438	-9.938	15.851	
800.00	1784.95	1159.440	-303.724	576.31	1810.26	161.79	1198.562	-21.376	2.980	-14.679	-6.697	17.659	
850.00	1784.95	1137.851	-368.024	633.75	1793.47	164.15	1195.887	-21.376	1.538	-17.923	-3.453	19.462	
861.37	1784.95	1132.666	-382.530	646.66	1789.20	164.47	1195.518	-21.376	1.210	-18.661	-2.715	19.871	
900.00	1690.40	1288.610	-499.739	693.40	1772.17	164.99	1382.120	-21.376	0.172	-21.197	-0.179	21.369	
943.36	1584.26	1474.038	-635.350	753.25	1747.58	165.00	1605.135	-21.376	-0.000	-23.317	1.941	23.317	
