t, с;m, кг;V_x, м/с;V_y, м/с;x, м;y, м;h, м;V, м/с;theta, град.;Theta, град.;Theta_с, град.;alpha, град.;phi, град.
0.00000000;3000.00000000;0.00000000;0.00000000;0.00000000;1738000.00000000;0.00000000;0.00000000;90.00000000;NaN;NaN;NaN;0.00000000
0.10000000;2999.75523256;0.00000000;0.11836174;0.00000000;1738000.00591790;0.00591790;0.11836174;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.20000000;2999.51046512;0.00000000;0.23674638;0.00000000;1738000.02367311;0.02367311;0.23674638;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.30000000;2999.26569767;0.00000000;0.35515393;0.00000000;1738000.05326794;0.05326794;0.35515393;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.40000000;2999.02093023;0.00000000;0.47358440;0.00000000;1738000.09470466;0.09470466;0.47358440;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.50000000;2998.77616279;0.00000000;0.59203780;0.00000000;1738000.14798558;0.14798558;0.59203780;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.60000000;2998.53139535;0.00000000;0.71051412;0.00000000;1738000.21311299;0.21311299;0.71051412;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.70000000;2998.28662791;0.00000000;0.82901338;0.00000000;1738000.29008917;0.29008917;0.82901338;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.80000000;2998.04186047;0.00000000;0.94753558;0.00000000;1738000.37891643;0.37891643;0.94753558;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
0.90000000;2997.79709302;0.00000000;1.06608072;0.00000000;1738000.47959705;0.47959705;1.06608072;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.00000000;2997.55232558;0.00000000;1.18464882;0.00000000;1738000.59213334;0.59213334;1.18464882;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.10000000;2997.30755814;0.00000000;1.30323988;0.00000000;1738000.71652758;0.71652758;1.30323988;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.20000000;2997.06279070;0.00000000;1.42185390;0.00000000;1738000.85278208;0.85278208;1.42185390;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.30000000;2996.81802326;0.00000000;1.54049090;0.00000000;1738001.00089913;1.00089913;1.54049090;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.40000000;2996.57325581;0.00000000;1.65915087;0.00000000;1738001.16088102;1.16088102;1.65915087;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.50000000;2996.32848837;0.00000000;1.77783382;0.00000000;1738001.33273007;1.33273007;1.77783382;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.60000000;2996.08372093;0.00000000;1.89653976;0.00000000;1738001.51644855;1.51644855;1.89653976;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.70000000;2995.83895349;0.00000000;2.01526870;0.00000000;1738001.71203879;1.71203879;2.01526870;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.80000000;2995.59418605;0.00000000;2.13402064;0.00000000;1738001.91950306;1.91950306;2.13402064;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
1.90000000;2995.34941860;0.00000000;2.25279558;0.00000000;1738002.13884368;2.13884368;2.25279558;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.00000000;2995.10465116;0.00000000;2.37159354;0.00000000;1738002.37006294;2.37006294;2.37159354;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.10000000;2994.85988372;0.00000000;2.49041451;0.00000000;1738002.61316316;2.61316316;2.49041451;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.20000000;2994.61511628;0.00000000;2.60925851;0.00000000;1738002.86814661;2.86814661;2.60925851;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.30000000;2994.37034884;0.00000000;2.72812554;0.00000000;1738003.13501563;3.13501563;2.72812554;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.40000000;2994.12558140;0.00000000;2.84701561;0.00000000;1738003.41377249;3.41377249;2.84701561;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.50000000;2993.88081395;0.00000000;2.96592872;0.00000000;1738003.70441952;3.70441952;2.96592872;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.60000000;2993.63604651;0.00000000;3.08486488;0.00000000;1738004.00695900;4.00695900;3.08486488;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.70000000;2993.39127907;0.00000000;3.20382409;0.00000000;1738004.32139326;4.32139326;3.20382409;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.80000000;2993.14651163;0.00000000;3.32280636;0.00000000;1738004.64772459;4.64772459;3.32280636;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
2.90000000;2992.90174419;0.00000000;3.44181170;0.00000000;1738004.98595530;4.98595530;3.44181170;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.00000000;2992.65697674;0.00000000;3.56084011;0.00000000;1738005.33608770;5.33608770;3.56084011;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.10000000;2992.41220930;0.00000000;3.67989160;0.00000000;1738005.69812409;5.69812409;3.67989160;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.20000000;2992.16744186;0.00000000;3.79896617;0.00000000;1738006.07206679;6.07206679;3.79896617;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.30000000;2991.92267442;0.00000000;3.91806384;0.00000000;1738006.45791810;6.45791810;3.91806384;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.40000000;2991.67790698;0.00000000;4.03718460;0.00000000;1738006.85568033;6.85568033;4.03718460;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.50000000;2991.43313953;0.00000000;4.15632846;0.00000000;1738007.26535579;7.26535579;4.15632846;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.60000000;2991.18837209;0.00000000;4.27549543;0.00000000;1738007.68694679;7.68694679;4.27549543;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.70000000;2990.94360465;0.00000000;4.39468552;0.00000000;1738008.12045564;8.12045564;4.39468552;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.80000000;2990.69883721;0.00000000;4.51389873;0.00000000;1738008.56588466;8.56588466;4.51389873;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
3.90000000;2990.45406977;0.00000000;4.63313506;0.00000000;1738009.02323616;9.02323616;4.63313506;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.00000000;2990.20930233;0.00000000;4.75239452;0.00000000;1738009.49251245;9.49251245;4.75239452;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.10000000;2989.96453488;0.00000000;4.87167713;0.00000000;1738009.97371584;9.97371584;4.87167713;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.20000000;2989.71976744;0.00000000;4.99098287;0.00000000;1738010.46684864;10.46684864;4.99098287;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.30000000;2989.47500000;0.00000000;5.11031177;0.00000000;1738010.97191318;10.97191318;5.11031177;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.40000000;2989.23023256;0.00000000;5.22966382;0.00000000;1738011.48891177;11.48891177;5.22966382;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.50000000;2988.98546512;0.00000000;5.34903904;0.00000000;1738012.01784672;12.01784672;5.34903904;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.60000000;2988.74069767;0.00000000;5.46843743;0.00000000;1738012.55872035;12.55872035;5.46843743;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.70000000;2988.49593023;0.00000000;5.58785898;0.00000000;1738013.11153498;13.11153498;5.58785898;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.80000000;2988.25116279;0.00000000;5.70730372;0.00000000;1738013.67629292;13.67629292;5.70730372;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
4.90000000;2988.00639535;0.00000000;5.82677165;0.00000000;1738014.25299649;14.25299649;5.82677165;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.00000000;2987.76162791;0.00000000;5.94626277;0.00000000;1738014.84164802;14.84164802;5.94626277;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.10000000;2987.51686047;0.00000000;6.06577708;0.00000000;1738015.44224982;15.44224982;6.06577708;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.20000000;2987.27209302;0.00000000;6.18531460;0.00000000;1738016.05480421;16.05480421;6.18531460;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.30000000;2987.02732558;0.00000000;6.30487534;0.00000000;1738016.67931352;16.67931352;6.30487534;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.40000000;2986.78255814;0.00000000;6.42445928;0.00000000;1738017.31578005;17.31578005;6.42445928;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.50000000;2986.53779070;0.00000000;6.54406645;0.00000000;1738017.96420615;17.96420615;6.54406645;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.60000000;2986.29302326;0.00000000;6.66369685;0.00000000;1738018.62459412;18.62459412;6.66369685;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.70000000;2986.04825581;0.00000000;6.78335049;0.00000000;1738019.29694629;19.29694629;6.78335049;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.80000000;2985.80348837;0.00000000;6.90302736;0.00000000;1738019.98126499;19.98126499;6.90302736;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
5.90000000;2985.55872093;0.00000000;7.02272748;0.00000000;1738020.67755254;20.67755254;7.02272748;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.00000000;2985.31395349;0.00000000;7.14245085;0.00000000;1738021.38581126;21.38581126;7.14245085;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.10000000;2985.06918605;0.00000000;7.26219748;0.00000000;1738022.10604348;22.10604348;7.26219748;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.20000000;2984.82441860;0.00000000;7.38196738;0.00000000;1738022.83825153;22.83825153;7.38196738;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.30000000;2984.57965116;0.00000000;7.50176055;0.00000000;1738023.58243774;23.58243774;7.50176055;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.40000000;2984.33488372;0.00000000;7.62157699;0.00000000;1738024.33860442;24.33860442;7.62157699;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.50000000;2984.09011628;0.00000000;7.74141672;0.00000000;1738025.10675391;25.10675391;7.74141672;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.60000000;2983.84534884;0.00000000;7.86127973;0.00000000;1738025.88688854;25.88688854;7.86127973;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.70000000;2983.60058140;0.00000000;7.98116604;0.00000000;1738026.67901063;26.67901063;7.98116604;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.80000000;2983.35581395;0.00000000;8.10107565;0.00000000;1738027.48312252;27.48312252;8.10107565;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
6.90000000;2983.11104651;0.00000000;8.22100857;0.00000000;1738028.29922654;28.29922654;8.22100857;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
7.00000000;2982.86627907;0.00000000;8.34096480;0.00000000;1738029.12732502;29.12732502;8.34096480;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
7.10000000;2982.62151163;0.00000000;8.46094435;0.00000000;1738029.96742028;29.96742028;8.46094435;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
7.20000000;2982.37674419;0.00000000;8.58094723;0.00000000;1738030.81951466;30.81951466;8.58094723;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
7.30000000;2982.13197674;0.00000000;8.70097343;0.00000000;1738031.68361050;31.68361050;8.70097343;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
7.40000000;2981.88720930;0.00000000;8.82102297;0.00000000;1738032.55971013;32.55971013;8.82102297;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
7.50000000;2981.64244186;0.00000000;8.94109586;0.00000000;1738033.44781587;33.44781587;8.94109586;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
7.60000000;2981.39767442;0.00000000;9.06119210;0.00000000;1738034.34793008;34.34793008;9.06119210;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
7.70000000;2981.15290698;0.00000000;9.18131169;0.00000000;1738035.26005507;35.26005507;9.18131169;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
7.80000000;2980.90813953;0.00000000;9.30145464;0.00000000;1738036.18419319;36.18419319;9.30145464;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
7.90000000;2980.66337209;0.00000000;9.42162096;0.00000000;1738037.12034678;37.12034678;9.42162096;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
8.00000000;2980.41860465;0.00000000;9.54181065;0.00000000;1738038.06851816;38.06851816;9.54181065;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
8.10000000;2980.17383721;0.00000000;9.66202372;0.00000000;1738039.02870969;39.02870969;9.66202372;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
8.20000000;2979.92906977;0.00000000;9.78226018;0.00000000;1738040.00092369;40.00092369;9.78226018;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
8.30000000;2979.68430233;0.00000000;9.90252003;0.00000000;1738040.98516250;40.98516250;9.90252003;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
8.40000000;2979.43953488;0.00000000;10.02280327;0.00000000;1738041.98142847;41.98142847;10.02280327;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
8.50000000;2979.19476744;0.00000000;10.14310992;0.00000000;1738042.98972394;42.98972394;10.14310992;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
8.60000000;2978.95000000;0.00000000;10.26343998;0.00000000;1738044.01005124;44.01005124;10.26343998;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
8.70000000;2978.70523256;0.00000000;10.38379346;0.00000000;1738045.04241272;45.04241272;10.38379346;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
8.80000000;2978.46046512;0.00000000;10.50417036;0.00000000;1738046.08681071;46.08681071;10.50417036;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
8.90000000;2978.21569767;0.00000000;10.62457068;0.00000000;1738047.14324757;47.14324757;10.62457068;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
9.00000000;2977.97093023;0.00000000;10.74499444;0.00000000;1738048.21172563;48.21172563;10.74499444;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
9.10000000;2977.72616279;0.00000000;10.86544164;0.00000000;1738049.29224724;49.29224724;10.86544164;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
9.20000000;2977.48139535;0.00000000;10.98591229;0.00000000;1738050.38481474;50.38481474;10.98591229;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
9.30000000;2977.23662791;0.00000000;11.10640639;0.00000000;1738051.48943048;51.48943048;11.10640639;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
9.40000000;2976.99186047;0.00000000;11.22692394;0.00000000;1738052.60609680;52.60609680;11.22692394;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
9.50000000;2976.74709302;0.00000000;11.34746496;0.00000000;1738053.73481605;53.73481605;11.34746496;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
9.60000000;2976.50232558;0.00000000;11.46802945;0.00000000;1738054.87559057;54.87559057;11.46802945;90.00000000;90.00000000;90.00000000;0.00000000;0.00000000
