% # columns="iteration, evaluation, void, void, void, xmean", seed=738630, Sun Jun 28 18:39:08 2026, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 10 0 0 0 86.0575144265778 77.11411128466494 46.49763693414248 26.496493657667603 1.341743411814768 30.812168337028137 4.0563367428268275 4.023892948974451 4.145177399348221 4.4169689628249245
2 20 0 0 0 90.00627937279958 79.15929318680575 53.63899015621519 31.79911401340519 -8.16564019935721 31.83357008265631 3.428265974990733 6.699719584926288 4.930846267051913 4.64402649305422
3 30 0 0 0 85.47465511091926 82.98568870841908 48.993379130307176 31.63407906210556 1.2068949514222056 31.967771202730543 3.55022630724047 9.320730823258334 5.684519937507214 5.712933949773119
4 40 0 0 0 85.55343958892288 80.72892009728778 48.638442395712396 48.16167622238672 3.0967203569745645 26.873664489042955 2.5956067825701794 10.911802101472068 4.967407815082158 5.029832113820002
5 50 0 0 0 97.10777923337159 78.2369859906796 45.75521099498725 42.219656731471645 2.3055486465728197 31.17324509690201 5.3291436326145885 10.150260951765286 3.3224863533644085 2.902144072851474
6 60 0 0 0 97.06465336684789 76.5162968015584 45.5099815615466 39.0136078957407 1.027125941808071 33.40539084011034 7.54807337987282 12.042120790056634 4.092068551690131 5.666892054148869
7 70 0 0 0 82.46025761565708 74.25144670668855 37.14696484228656 32.43706431845508 2.2892332074808492 35.44913923402679 8.25473109369279 13.808526216560868 3.4779094856970088 3.2378097745137517
8 80 0 0 0 79.99192469915118 74.55498403067885 38.75903455878262 30.368181534583897 2.5124267419464625 36.15711598461372 3.980401495251275 13.62779642985895 4.415343283056175 2.1857740939045134
9 90 0 0 0 85.91269334976926 77.11132000634079 48.13679836375426 31.89240691766227 -0.7878572844711736 35.003965601176134 2.738021454527548 11.780313569335501 3.7679591910151475 3.8003071912623554
10 100 0 0 0 81.44631322811597 75.18713930881182 35.00324916894147 22.304516086047283 -3.057186934145414 36.91495881259461 2.372310511195844 12.431996366127285 3.7155331620845606 3.5355614846915486
11 110 0 0 0 78.2338172978618 73.23604884685318 27.570325261775142 13.74888057218286 4.8090885811036355 41.637175021591595 3.1513412518126582 10.680354146897074 2.2412928566032826 3.158796616673577
12 120 0 0 0 76.70291165395722 72.95768961550883 33.545858347846725 20.080246971419527 -0.43738708195764503 42.57007105254284 3.5659175394737663 12.596847112843353 4.32848618753925 4.696096882802637
13 130 0 0 0 73.04937456927269 71.32124600272003 22.287684806223876 20.83505751743835 5.034188652857242 43.12674683940964 4.670935688330133 11.961715118479022 3.2248890204236638 4.143790822541256
14 140 0 0 0 71.94496137161215 68.93483956486332 25.067429763970118 18.363922666288516 8.394865025031457 44.47612884805286 4.747168329388255 10.941853529089716 2.3233033404869947 3.5515474631584576
15 150 0 0 0 73.95028247929436 65.34243412211318 25.242024666197825 21.27799474047366 7.419977086227104 41.5650438146633 7.345889108306236 11.758728468454889 1.9876154069671783 3.841600806159377
16 160 0 0 0 75.05568167161609 67.32624851353049 25.77651453033377 19.55287911705824 10.089390237170045 38.13670164181454 8.735689138038342 10.828266585492427 2.1410629245935504 3.208127352498281
17 170 0 0 0 71.96929496176261 63.848149448915976 29.939632557907302 23.499513254852577 6.098440823037136 44.57276449742958 8.2780204507461 10.464338430245807 3.032268612661138 1.7822477024757084
